hour_of_day,day_of_week,hours_from_typical_login_time,is_thailand,is_new_country,country_change_count_30d,is_new_device,is_new_user_agent_family,log_minutes_since_last_login,login_count_24h,failed_logins_24h,passkey_count,passkey_age_days,new_passkey_recently_added,passkey_last_used_days,concurrent_session_count,active_subsystem_count,weekday_usage_score,scope_sensitivity_score,ever_changed_permission,permission_change_age,confirmed_incident_count,impossible_travel_score,label
12,4,1,1,0,0,0,0,1.7190497870287418,1,0,2,392.8358421085586,0,0.6917663936523935,2,1,0.098,0.295,1,250.2,0,0.038,0
3,3,0,1,0,0,0,0,5.512773275268563,2,0,3,249.4488462621659,0,8.300600867219087,0,0,0.07,0.95,0,365.0,0,0.025,0
18,1,0,1,0,0,0,0,4.396094272587406,4,0,1,317.27508409098573,0,2.34621819059934,1,2,0.187,0.443,1,111.9,0,0.046,0
9,0,0,1,0,0,0,0,6.055315226505415,2,0,1,285.5679748166952,0,7.834912190074882,2,0,0.327,0.16,0,365.0,0,0.04,0
14,5,0,1,0,0,0,0,0.9640927204661489,2,0,1,247.96888764585862,0,5.530999125602818,1,0,0.216,0.614,1,248.0,0,0.04,0
18,0,0,1,0,0,0,0,3.2038616278829757,3,0,1,42.13770532792156,0,0.19878813805518614,1,0,0.854,0.582,0,365.0,0,0.038,0
0,4,0,1,0,0,0,0,4.0653761012441105,1,0,0,0,0,0,1,0,0.333,0.799,1,37.4,0,0.008,0
17,0,0,1,0,0,0,0,6.646792547810928,2,0,0,0,0,0,2,2,0.806,0.26,1,221.7,0,0.008,0
13,4,0,1,0,0,0,0,3.063138070161041,1,0,0,0,0,0,1,2,0.623,0.784,0,365.0,0,0.042,0
9,0,1,1,0,0,0,0,4.843079119206146,1,0,1,103.21879219241788,0,8.223689719635033,0,0,0.694,0.0,1,236.1,0,0.027,0
15,4,0,1,0,0,0,0,1.4434988039846361,2,0,0,0,0,0,2,1,0.205,0.0,1,363.8,0,0.011,0
20,4,0,1,0,0,0,0,3.611882428394088,3,0,0,0,0,0,0,1,0.047,0.63,0,365.0,0,0.0,0
9,4,0,1,0,0,0,0,2.1889527855536572,2,0,0,0,0,0,0,2,0.672,0.77,0,365.0,0,0.037,0
15,2,0,1,0,0,0,0,2.0870986304906145,1,0,1,138.4230354408063,0,7.257541149586855,0,0,0.13,0.0,1,169.4,0,0.04,0
17,6,0,1,0,0,0,0,4.541270141971116,4,0,1,226.85556196934164,0,12.873080814096783,0,1,0.325,0.0,0,365.0,0,0.027,0
10,2,1,1,0,0,0,0,1.5084368604099172,2,0,0,0,0,0,3,0,0.143,0.97,1,329.2,0,0.017,0
7,3,1,1,0,0,1,0,1.6913747222707922,1,1,1,152.56235748571774,0,12.048287200377892,0,2,0.09,0.287,0,365.0,0,0.018,0
12,1,1,1,0,0,0,0,3.097991086032689,3,0,0,0,0,0,1,2,0.83,0.565,1,191.6,1,0.022,0
17,1,0,1,0,0,0,0,5.46438641437231,2,2,0,0,0,0,3,0,0.675,0.106,0,365.0,0,0.021,0
10,5,1,1,0,0,0,0,3.000623228565151,1,0,0,0,0,0,1,1,0.546,0.395,1,65.2,1,0.037,0
8,5,0,1,0,0,0,0,1.974750141174126,5,0,0,0,0,0,0,1,0.211,0.733,1,177.7,0,0.011,0
11,2,2,1,0,0,0,0,3.2039563497232857,1,0,0,0,0,0,0,2,0.049,0.397,0,365.0,0,0.002,0
17,0,1,1,0,0,0,0,2.469518297873636,3,0,0,0,0,0,1,0,0.718,0.721,0,365.0,0,0.013,0
16,3,2,1,0,0,0,0,2.248195563358248,2,0,0,0,0,0,1,0,0.843,0.741,0,365.0,0,0.003,0
1,1,0,1,0,0,0,0,1.1604918675891174,5,0,1,62.098116963206316,0,11.902451750497848,0,0,0.604,0.0,1,276.1,0,0.028,0
12,1,0,1,0,0,0,0,5.024989063312941,2,0,0,0,0,0,0,1,0.227,0.0,0,365.0,0,0.034,0
15,3,1,1,0,0,1,0,2.206440778634989,3,1,1,316.4976459026544,0,12.537021215052587,1,1,0.076,0.692,1,238.6,0,0.049,0
6,5,1,1,0,0,0,0,1.8191906074468838,2,0,0,0,0,0,0,1,0.568,0.0,1,272.6,0,0.041,0
21,2,2,1,0,0,0,0,6.985110771416769,6,0,1,252.43731630705383,0,2.945678452189145,2,2,0.271,0.0,1,190.3,0,0.008,0
7,0,0,1,0,0,0,0,4.291699403412046,1,1,1,372.3694161783607,0,8.685961118832493,1,1,0.82,0.0,0,365.0,0,0.011,0
6,2,1,1,0,0,0,0,3.4980791176255055,6,0,1,343.5094571895672,0,7.142248557102096,1,0,0.828,0.672,1,102.2,0,0.016,0
18,3,0,1,0,0,0,0,1.3946948773966676,4,0,0,0,0,0,0,1,0.708,0.441,1,334.6,0,0.035,0
13,0,3,1,0,0,0,0,-0.7154924041984785,3,0,0,0,0,0,0,1,0.841,0.341,0,365.0,1,0.029,0
10,4,0,1,0,0,0,0,4.594431466825436,6,0,0,0,0,0,2,1,0.638,0.0,1,239.9,0,0.025,0
18,2,0,1,0,0,0,0,5.543609058844576,4,0,0,0,0,0,1,0,0.702,0.237,0,365.0,0,0.032,0
9,3,2,1,0,0,0,0,6.156243514626207,1,0,0,0,0,0,3,1,0.697,0.0,1,278.1,0,0.011,0
14,1,0,1,0,0,0,0,0.010842131648620246,6,0,1,119.18423731334225,0,10.11275317669644,1,2,0.182,0.842,1,69.0,0,0.004,0
7,6,1,1,0,0,0,0,2.821514453167236,1,0,1,207.37282217972307,0,7.968670373424628,1,0,0.544,0.0,1,242.0,0,0.01,0
15,1,0,1,0,0,0,0,6.719340873618041,5,0,1,164.3933714017213,0,10.924251299649008,2,0,0.82,0.641,1,97.4,0,0.015,0
13,0,0,1,0,0,0,0,3.752122710267444,3,0,0,0,0,0,0,1,0.264,0.795,1,198.2,0,0.016,0
4,0,0,1,0,0,0,0,4.9795028868269915,3,2,1,179.22344927431166,0,0.8071562311189657,0,0,0.046,0.0,0,365.0,0,0.029,0
13,2,1,1,0,0,1,0,6.51765947759047,3,0,0,0,0,0,0,0,0.771,0.988,1,325.8,0,0.045,0
6,3,0,1,0,0,0,0,0.43646494452398965,2,0,2,263.94566270847844,0,0.5749358983038038,0,2,0.059,0.0,0,365.0,0,0.05,0
22,3,2.357766266565478,0,1,4,1,1,2.2032522247523416,1,0,0,0,0,0,1,2,0.938,0.302,1,203.6,0,0.619,1
19,3,2,1,0,0,0,0,-0.046956941874656266,3,0,0,0,0,0,2,0,0.328,0.0,1,143.5,0,0.009,0
17,0,0,1,0,0,0,0,0.8695207527558271,2,0,0,0,0,0,1,0,0.799,0.242,1,221.4,0,0.021,0
8,3,0,1,0,0,0,0,5.752795233068965,1,0,1,263.99710799206713,0,10.128417615118234,0,0,0.365,0.748,0,365.0,0,0.035,0
15,5,1,1,0,0,0,0,4.422345847384403,1,0,1,63.562762732895834,0,7.214656216176774,0,0,0.169,0.625,0,365.0,0,0.045,0
18,5,0,1,0,0,0,0,1.1045228899853603,1,0,0,0,0,0,0,1,0.624,0.731,1,336.1,0,0.015,0
8,1,0,1,0,0,0,0,4.183982794163846,2,0,0,0,0,0,0,0,0.415,0.565,0,365.0,0,0.046,0
7,4,1,1,0,0,0,0,5.623934944608584,5,0,0,0,0,0,2,0,0.489,0.468,0,365.0,0,0.031,0
19,0,1,1,0,0,0,0,4.7535625762016265,3,0,0,0,0,0,1,1,0.459,0.316,1,142.2,0,0.003,0
20,1,0,1,0,0,0,0,1.7422872923528905,2,0,2,387.889250717139,0,11.770412793304352,3,0,0.552,0.132,1,90.8,0,0.029,0
22,4,7.977202384047029,1,0,0,1,1,5.146888901717033,2,0,1,81.39621134652533,0,246.22970279200766,1,1,0.759,0.0,1,245.7,0,0.128,1
3,2,0,1,0,0,0,0,6.078091937297716,2,2,0,0,0,0,1,1,0.516,0.818,1,125.2,0,0.01,0
14,2,1,1,0,0,0,0,1.3863640304732128,3,0,2,84.6256036785646,0,10.749082988636735,0,0,0.054,0.0,1,300.3,0,0.008,0
12,4,0,1,0,0,0,0,2.135415032167929,1,0,1,70.56798084265486,0,11.933928560473507,0,1,0.004,0.581,1,329.9,0,0.025,0
13,1,2,1,0,0,0,0,1.8551157499128843,2,0,0,0,0,0,1,0,0.794,0.0,0,365.0,0,0.046,0
7,0,0,1,0,0,0,0,1.038574594807094,3,0,1,16.290268186263646,0,12.659098705734767,2,0,0.522,0.0,0,365.0,0,0.026,0
16,4,3,1,0,0,0,0,-0.6876646727045683,2,0,0,0,0,0,2,1,0.738,0.386,1,35.4,0,0.028,0
4,1,0,1,0,0,0,0,1.184357635867622,4,0,0,0,0,0,1,0,0.842,0.926,1,95.2,0,0.046,0
8,2,1,1,0,0,0,0,2.456224061101034,6,0,0,0,0,0,0,0,0.483,0.198,1,28.4,0,0.006,0
10,0,1,1,0,0,0,0,4.342112610349458,6,0,0,0,0,0,0,1,0.193,0.22,0,365.0,0,0.011,0
10,4,0,1,0,0,0,0,1.9019850743718765,3,1,0,0,0,0,0,1,0.235,0.0,0,365.0,0,0.001,0
2,3,5.119711159921284,1,0,0,1,1,2.3258463592584415,1,0,0,0,0,0,1,0,0.763,0.0,1,77.0,1,0.099,1
9,6,1,1,0,0,0,0,3.873805104244397,3,0,1,390.7972067108698,0,7.666246326311123,0,1,0.46,0.649,0,365.0,0,0.035,0
19,0,1,1,0,0,0,0,0.38114762536721525,1,0,0,0,0,0,0,0,0.393,0.247,1,72.3,0,0.032,0
12,4,2,1,0,0,0,0,2.253095056016141,4,0,1,76.71021773495366,0,13.135195641173055,0,2,0.227,0.0,1,318.0,0,0.001,0
11,3,0,1,0,0,0,0,4.360068985911827,2,0,0,0,0,0,0,1,0.104,0.0,0,365.0,0,0.03,0
17,4,1,1,0,0,0,0,5.266919328679504,6,0,1,66.7625365310172,0,4.526730262406348,2,0,0.461,0.698,1,186.1,0,0.028,0
14,2,0,1,0,0,0,0,3.223883934533406,1,0,0,0,0,0,0,1,0.5,0.885,1,311.4,0,0.024,0
14,3,1,1,0,0,0,0,0.7681723165613761,2,0,0,0,0,0,3,0,0.571,0.496,1,273.3,0,0.007,0
14,1,0,1,0,0,0,0,6.572459369420305,6,0,2,389.9521356179777,0,8.381187760835012,0,1,0.626,0.0,0,365.0,0,0.007,0
7,4,1,1,0,0,0,0,4.515358219707731,5,0,0,0,0,0,0,1,0.83,0.556,1,315.0,0,0.044,0
14,2,0,1,0,0,0,0,6.034778685368623,3,0,0,0,0,0,1,2,0.307,0.0,1,168.7,0,0.043,0
14,4,0,1,0,0,0,0,5.824478274899602,2,0,0,0,0,0,0,0,0.416,0.0,1,237.0,0,0.023,0
15,4,2,1,0,0,0,0,6.294226926684064,1,0,0,0,0,0,1,0,0.126,0.352,1,351.3,0,0.044,0
11,0,0,1,0,0,0,0,2.0791572553912703,2,0,1,191.9507866787344,0,5.268893446262271,1,1,0.532,0.605,1,222.4,0,0.032,0
9,0,0,1,0,0,0,0,6.898101569129799,2,0,1,207.7892596754473,0,8.57496500132637,1,0,0.222,0.0,1,338.2,0,0.035,0
9,2,2,1,0,0,0,0,5.159979418067566,2,0,0,0,0,0,2,0,0.094,0.0,1,353.7,0,0.025,0
8,4,0,1,0,0,0,0,3.6627589793474797,1,0,0,0,0,0,1,1,0.733,0.271,0,365.0,0,0.017,0
9,4,1,1,0,0,0,0,6.6356236601453125,2,1,0,0,0,0,0,0,0.376,0.595,1,171.7,0,0.045,0
15,5,1,1,0,0,0,0,1.7811406704183588,4,0,1,191.57209929030662,0,2.8839636246555624,1,2,0.577,0.248,1,33.5,0,0.013,0
9,4,0,1,0,0,0,0,-0.48933464480968514,1,0,0,0,0,0,1,0,0.197,0.798,1,285.2,0,0.006,0
16,1,0,1,0,0,0,0,3.1713154987178838,3,0,1,159.38098014074518,0,6.9968485439557355,2,1,0.693,0.0,1,162.4,0,0.026,0
16,3,2,1,0,0,0,0,-0.7093613644175045,4,0,0,0,0,0,0,0,0.182,0.206,1,287.9,0,0.045,0
8,4,0,1,0,0,0,0,3.588050893621472,3,0,0,0,0,0,1,0,0.373,0.528,1,314.0,0,0.013,0
18,3,0,1,0,1,1,1,4.566180765063263,1,0,0,0,0,0,1,1,0.812,0.0,1,188.2,0,0.015,0
10,2,0,1,0,0,0,0,6.760065413091212,1,0,0,0,0,0,2,2,0.259,0.338,0,365.0,0,0.029,0
1,6,11.768644880613284,1,0,0,1,0,4.539099975220511,1,0,0,0,0,0,1,0,0.466,0.352,1,70.7,0,0.166,1
13,2,0,1,0,0,0,0,3.7434886158995404,2,0,1,122.4647195835973,0,13.19120802170074,0,0,0.813,0.844,0,365.0,0,0.035,0
14,2,1,1,0,0,0,0,0.740887209217246,2,0,0,0,0,0,1,1,0.001,0.0,1,105.5,0,0.041,0
7,4,1,1,0,0,0,0,6.735071471846841,1,0,1,48.06567183082621,0,1.348141187829798,0,1,0.257,0.239,1,272.7,0,0.005,0
18,1,0,1,0,0,0,0,3.8399431971615057,2,0,0,0,0,0,2,1,0.186,0.359,1,16.4,0,0.02,0
14,4,1,1,0,0,0,0,-0.9688289696806098,1,0,0,0,0,0,1,1,0.092,0.691,1,145.3,0,0.021,0
2,2,3,1,0,0,0,0,0.3294271403214841,3,0,1,5.700573442083443,0,12.196527493576228,0,0,0.493,0.836,1,267.7,0,0.017,0
13,1,1,1,0,0,0,0,-0.0954087422355201,3,0,0,0,0,0,2,2,0.327,0.153,0,365.0,0,0.021,0
19,6,0,1,0,0,0,0,4.192453799366969,2,0,0,0,0,0,1,1,0.161,0.339,0,365.0,0,0.015,0
12,4,0,1,0,0,0,0,0.3402082511870619,1,0,1,192.1980630790912,0,11.17150956322766,2,1,0.515,0.845,0,365.0,0,0.039,0
8,3,2,1,0,0,0,0,0.8799699832572152,2,0,1,310.5791683326599,0,9.662966604520436,2,0,0.021,0.356,1,321.1,0,0.003,0
1,0,1,1,0,0,0,0,1.651186826428221,3,1,2,168.52751643720066,0,5.8027515031200165,0,2,0.546,0.222,1,353.7,0,0.013,0
15,4,3,1,0,0,0,0,-0.4597394458178625,2,0,0,0,0,0,2,1,0.566,0.474,0,365.0,0,0.027,0
13,2,0,1,0,0,0,0,4.544020637841569,1,1,1,156.08955439686912,0,8.388975785415454,1,1,0.611,0.0,0,365.0,0,0.009,0
12,3,0,1,0,0,0,0,4.999842112666513,3,0,0,0,0,0,2,0,0.381,0.32,0,365.0,0,0.008,0
8,2,0,1,0,0,0,0,-0.9309725395869997,1,0,0,0,0,0,0,1,0.894,0.0,0,365.0,0,0.014,0
3,3,0.517745436847179,1,0,0,0,0,-1.3940422703309372,100,20,0,0,0,0,50,3,0.81,0.417,1,238.4,0,0.135,1
8,2,0,1,0,0,0,0,0.0568712133951399,2,0,0,0,0,0,2,0,0.558,0.798,0,365.0,0,0.017,0
16,3,0,1,0,0,0,0,6.318858837950559,1,0,0,0,0,0,0,0,0.54,0.644,1,12.7,0,0.043,0
23,1,4.6115535719218705,1,0,0,1,1,2.564683863519797,1,2,0,0,0,0,1,0,0.756,0.558,1,79.6,0,0.102,1
17,3,0,1,0,0,0,0,1.2736859861691867,3,0,2,82.1371977501569,0,12.885185552370158,0,0,0.07,0.391,1,287.3,0,0.043,0
9,2,0,1,0,0,0,0,0.005964106335970776,2,0,0,0,0,0,1,0,0.108,0.0,1,311.1,0,0.002,0
18,4,2,1,0,0,0,0,-0.6754147085771081,2,0,0,0,0,0,0,2,0.345,0.894,0,365.0,0,0.041,0
14,1,0,1,0,0,0,0,4.3332245839681365,4,0,0,0,0,0,0,2,0.821,0.315,1,148.3,0,0.006,0
17,0,0,1,0,0,0,0,0.3494062806991085,5,0,0,0,0,0,3,0,0.871,0.966,1,159.9,0,0.006,0
21,3,0,1,0,0,0,0,3.323595226835824,5,0,0,0,0,0,1,2,0.641,0.0,1,226.5,0,0.006,0
15,2,1,1,0,0,0,0,5.437453887456483,2,0,2,265.8413547470687,0,11.744318879706793,1,1,0.743,0.265,1,220.8,0,0.026,0
15,3,0,1,0,0,0,0,6.2565582263871065,4,0,1,108.74640472263405,0,4.344151683607732,0,0,0.691,0.0,0,365.0,0,0.022,0
9,3,2,1,0,0,0,0,2.238586525044533,3,1,3,273.44947783964125,0,13.921510152261956,2,0,0.772,0.891,1,204.0,0,0.044,0
14,1,1,1,0,0,0,0,4.495370118483189,3,0,0,0,0,0,3,0,0.028,0.592,1,285.9,0,0.002,0
10,4,0,1,0,0,0,0,-0.816589965615127,5,0,1,147.784056540676,0,6.903298236970485,0,1,0.693,0.0,0,365.0,0,0.017,0
13,3,0,1,0,0,0,0,1.6068799304445092,3,0,1,53.69143044968728,0,0.3938901954111871,0,1,0.823,0.5,1,227.8,0,0.039,0
15,4,0,1,0,0,0,0,0.19549741271131627,1,0,0,0,0,0,0,2,0.81,0.905,0,365.0,0,0.024,0
8,0,1,1,0,0,0,0,5.106876782563357,2,0,2,301.75144787838406,0,9.50263620710537,1,1,0.302,0.462,1,273.3,0,0.014,0
9,2,0,1,0,0,0,0,0.24670546685000083,3,0,2,341.094169636807,0,4.528934895791169,0,0,0.124,0.87,1,311.2,0,0.017,0
12,2,0,1,0,0,0,0,3.0607901255279364,1,0,1,384.29462223849794,0,11.093335741186225,1,0,0.625,0.272,0,365.0,1,0.023,0
16,1,0,1,0,1,0,0,4.005584086101032,2,0,1,253.41956075322082,0,11.18282318956243,0,0,0.017,0.8,1,363.8,0,0.035,0
9,4,0,1,0,0,0,0,0.8385102974302381,2,0,0,0,0,0,2,1,0.378,0.0,1,177.4,0,0.002,0
12,2,0,1,0,0,0,0,0.028032692690826977,3,0,0,0,0,0,1,1,0.071,0.15,1,81.3,0,0.041,0
10,0,0,1,0,0,0,0,6.064063900893947,1,0,0,0,0,0,1,0,0.758,0.0,0,365.0,0,0.014,0
17,3,3,1,0,0,0,0,5.427260173895667,2,0,0,0,0,0,3,0,0.739,0.0,1,222.0,0,0.017,0
18,4,0,1,0,0,0,0,3.450309006432537,3,0,2,370.2839109089994,0,9.457323937085409,2,1,0.161,0.709,1,76.6,0,0.044,0
7,3,2,1,0,0,0,0,-0.28007276347836996,1,0,0,0,0,0,1,0,0.345,0.0,0,365.0,0,0.018,0
7,1,0,1,0,0,0,0,1.9113241790665185,3,0,0,0,0,0,1,1,0.869,0.324,1,186.2,0,0.046,0
12,5,1,1,0,0,0,0,4.626397400437397,4,0,1,31.931723407813003,0,11.649174104815664,1,1,0.318,0.845,1,70.4,0,0.035,0
18,5,0,1,0,0,0,0,-0.5649347124001016,3,0,0,0,0,0,0,0,0.854,0.516,1,67.9,0,0.027,0
13,3,2,1,0,0,0,0,4.585303096358713,2,0,0,0,0,0,0,0,0.834,0.0,0,365.0,0,0.007,0
10,2,0,1,0,0,0,0,1.4935477284029997,2,0,0,0,0,0,1,1,0.689,0.373,0,365.0,0,0.046,0
8,5,2,1,0,0,0,0,2.462330256938915,1,1,1,156.6551971893269,0,8.480089108374788,2,0,0.451,0.0,0,365.0,0,0.014,0
8,0,1,1,0,0,0,0,5.6145759728547855,3,0,1,39.23753052378971,0,11.526407435626128,0,1,0.336,0.406,0,365.0,0,0.008,0
12,3,0,1,0,0,0,0,4.271983444361998,2,0,1,378.2709585428748,0,8.544948241068353,0,1,0.668,0.347,1,131.1,0,0.04,0
9,0,2,1,0,0,0,0,0.9809219964760256,4,0,0,0,0,0,2,0,0.586,0.861,0,365.0,0,0.038,0
13,1,4.5837276936082985,1,0,0,0,1,-0.14005133107064371,10,10,1,87.0308208731627,1,39.30835268761873,1,0,0.656,0.491,0,365.0,0,0.048,1
13,0,1,1,0,0,0,0,3.364125429799251,3,0,0,0,0,0,1,1,0.324,0.768,1,118.9,0,0.006,0
14,1,1,1,0,0,0,0,2.9900776671812332,2,0,1,386.70796559043765,0,4.940531243988975,0,1,0.794,0.524,1,310.3,0,0.044,0
1,6,0.6001785446234686,1,0,0,0,0,-0.8028196471423397,20,20,0,0,0,0,10,2,0.766,0.0,1,23.9,0,0.113,1
11,3,0,1,0,0,0,0,6.993870865733038,4,0,1,250.1727533851396,0,4.061423866472117,0,1,0.734,0.576,1,292.5,0,0.049,0
10,2,0,1,0,0,0,0,-0.8149243481627586,4,2,3,282.1255337105816,1,1.4997118149786508,0,0,0.833,0.0,1,263.1,0,0.04,0
10,4,0,1,0,0,0,0,-0.46151371713375067,2,0,0,0,0,0,0,1,0.394,0.159,1,258.4,0,0.047,0
21,0,1,1,0,0,0,0,-0.7790544825257406,6,1,1,235.88180555802143,0,6.736216673938358,1,0,0.688,0.721,0,365.0,0,0.048,0
16,3,1,1,0,0,0,0,4.052860497239057,4,0,0,0,0,0,0,0,0.613,0.374,0,365.0,0,0.0,0
5,2,0,1,0,0,0,0,1.5379032876623064,2,0,1,117.8100453357483,0,0.7742459565014213,0,2,0.229,0.46,1,98.3,0,0.04,0
15,2,2,1,0,0,1,0,-0.8681871199311146,4,0,0,0,0,0,0,2,0.316,0.0,0,365.0,0,0.016,0
20,2,0,1,0,0,0,0,0.350438336606131,2,0,0,0,0,0,0,0,0.454,0.696,1,45.6,0,0.027,0
19,0,0,1,0,0,0,0,5.393856369543098,2,0,1,20.225628378504588,0,4.714810176901257,2,1,0.59,0.119,1,141.4,0,0.029,0
11,2,1,1,0,0,0,0,0.42542619619158906,4,0,0,0,0,0,0,0,0.823,0.496,0,365.0,0,0.032,0
18,2,0,1,0,0,0,0,5.017329687005806,4,0,1,184.45044114508931,0,11.43380332191471,2,1,0.437,0.142,1,147.1,0,0.041,0
9,0,0,1,0,0,0,0,-0.8236769503528878,1,0,0,0,0,0,3,0,0.387,0.48,1,188.0,0,0.034,0
8,1,0,1,0,0,0,0,1.9571019162477894,3,0,0,0,0,0,0,0,0.624,0.742,0,365.0,0,0.013,0
5,2,2.559187389680097,0,1,2,1,1,0.017258347957127107,1,1,0,0,0,0,1,2,0.48,0.674,0,365.0,0,0.992,1
6,2,0,1,0,0,0,0,0.724148963859653,1,0,2,65.80493371634388,0,11.85363236088632,2,1,0.328,0.0,1,306.0,0,0.041,0
11,2,0,1,0,0,0,0,0.5304747194888195,4,0,1,36.57630279098952,0,13.211893913189899,0,2,0.833,0.0,1,270.5,0,0.047,0
7,2,0,1,0,0,0,0,1.9714954346187668,5,0,0,0,0,0,1,0,0.883,0.0,1,197.4,0,0.024,0
14,6,0,1,0,0,0,0,5.545375361054515,1,0,2,45.8363245732566,0,13.285172810361043,2,2,0.738,0.0,0,365.0,0,0.023,0
18,0,2,1,0,0,1,0,0.5319633452872559,2,0,1,363.12376976980545,0,0.7413582685267583,2,1,0.775,0.271,1,334.2,0,0.021,0
5,0,0,1,0,0,0,0,1.295759739813385,2,0,0,0,0,0,2,2,0.166,0.0,1,208.9,0,0.013,0
21,6,1,1,0,0,0,0,3.068686980084612,3,0,0,0,0,0,1,1,0.44,0.177,0,365.0,0,0.027,0
12,2,0,1,0,0,0,0,0.7977590984592897,2,0,0,0,0,0,2,0,0.635,0.711,0,365.0,0,0.042,0
19,0,1,1,0,0,0,0,4.9103679879097255,4,0,1,132.52874658506582,0,4.950373114872747,1,1,0.781,0.972,1,132.9,0,0.011,0
15,2,0,1,0,0,0,0,0.9313575671019061,3,0,0,0,0,0,2,0,0.885,0.293,1,333.5,0,0.016,0
13,6,1,1,0,0,0,0,3.650240539480926,2,0,2,23.781681725547198,0,5.10584982442766,0,2,0.505,0.794,1,310.8,0,0.029,0
8,0,0,1,0,0,0,0,-0.6266662998762254,3,0,2,323.9902708740395,0,12.841798609405881,0,1,0.147,0.0,0,365.0,0,0.044,0
16,2,2,1,0,0,0,0,-0.20229951344437058,4,0,2,392.86828670935404,0,6.8066389552463775,2,0,0.315,0.556,1,107.8,0,0.01,0
17,3,0,1,0,0,0,0,-0.10790004767269945,1,1,0,0,0,0,0,0,0.841,0.493,1,181.4,0,0.033,0
6,2,0,1,0,0,0,0,5.166381607331045,5,0,1,23.311657035961822,0,11.913328015667743,2,1,0.572,0.495,1,73.1,0,0.016,0
16,4,1,1,0,0,0,0,2.621082366697779,6,0,0,0,0,0,1,1,0.241,0.561,1,69.1,0,0.017,0
5,0,0,1,0,0,0,0,0.6456011639238834,2,0,2,371.2944685746741,0,6.573528264107562,1,0,0.217,0.0,1,323.7,0,0.02,0
11,3,0,1,0,0,0,0,1.0027140916215016,2,0,1,112.62690385679839,0,2.415606024869547,1,1,0.511,0.698,1,129.8,0,0.003,0
14,5,0,1,0,1,0,0,2.778925326728843,4,0,1,185.6149061483045,0,5.81881111557389,1,1,0.597,0.354,1,197.2,0,0.003,0
9,0,0,1,0,0,0,0,5.4766999706172665,5,0,0,0,0,0,3,0,0.796,0.0,1,124.6,0,0.045,0
18,4,3,1,0,0,0,0,1.8939479834053747,2,0,0,0,0,0,0,0,0.123,0.768,0,365.0,0,0.031,0
15,6,1,1,0,0,0,0,3.546966827854539,1,0,1,213.9681604060604,0,6.049546976084496,1,1,0.177,0.973,0,365.0,0,0.034,0
8,4,1,1,0,0,0,0,5.634636607550581,5,0,0,0,0,0,1,1,0.437,0.0,1,197.1,0,0.032,0
15,3,0,1,0,0,0,0,6.649680431747473,2,0,3,192.50717958468013,0,5.986015045236988,0,1,0.373,0.0,1,248.4,0,0.042,0
