stage,normal_scenario,attack_type,attack_family,expected_action,dataset_size,seed,challenge_recall,policy_success,mean_score
hardened_v3,normal_nat_burst,attack_new_os,known,warn,1110.0,44.0,0.0,1.0,0.22945833333333335
hardened_v3,normal_nat_burst,attack_new_passkey,known,challenge,1110.0,44.0,1.0,1.0,0.673625
hardened_v3,normal_nat_burst,attack_new_ua_family,known,challenge,1110.0,44.0,1.0,1.0,0.4285416666666667
hardened_v3,normal_nat_burst,attack_off_hours,known,warn,1110.0,44.0,0.0,0.9166666666666666,0.30802777777777784
hardened_v3,normal_nat_burst,attack_permission_change,known,challenge,1110.0,44.0,1.0,1.0,0.7817777777777778
hardened_v3,normal_nat_burst,attack_session_exfiltration,evasive,challenge,1110.0,44.0,0.8138888888888889,0.8138888888888889,0.36644444444444446
hardened_v3,normal_nat_burst,attack_subsystem_lateral,known,challenge,1110.0,44.0,1.0,1.0,0.9709166666666665
hardened_v3,normal_nat_burst,attack_velocity_near_threshold,evasive,challenge,1110.0,44.0,0.9805555555555556,0.9805555555555556,0.3163888888888889
hardened_v3,normal_staggered,attack_combined_ato,known,block,1110.0,44.0,1.0,1.0,0.9802777777777778
hardened_v3,normal_staggered,attack_concurrent_near_threshold,evasive,challenge,1110.0,44.0,1.0,1.0,0.8983333333333334
hardened_v3,normal_staggered,attack_concurrent_sessions,known,challenge,1110.0,44.0,1.0,1.0,0.6426111111111111
hardened_v3,normal_staggered,attack_failed_near_threshold,evasive,challenge,1110.0,44.0,0.9777777777777777,0.9777777777777777,0.39155555555555555
hardened_v3,normal_staggered,attack_failed_spike,known,challenge,1110.0,44.0,1.0,1.0,0.6963333333333334
hardened_v3,normal_staggered,attack_lateral_known_path,evasive,challenge,1110.0,44.0,1.0,1.0,0.8986666666666668
hardened_v3,normal_staggered,attack_login_velocity,known,challenge,1110.0,44.0,1.0,1.0,0.6974166666666667
hardened_v3,normal_staggered,attack_low_slow_ato,evasive,challenge,1110.0,44.0,1.0,1.0,0.4950555555555555
hardened_v3,normal_staggered,attack_new_device,known,challenge,1110.0,44.0,1.0,1.0,0.7081666666666667
hardened_v3,normal_staggered,attack_new_os,known,warn,1110.0,44.0,0.0,1.0,0.21055555555555558
hardened_v3,normal_staggered,attack_new_passkey,known,challenge,1110.0,44.0,1.0,1.0,0.6422361111111111
hardened_v3,normal_staggered,attack_new_ua_family,known,challenge,1110.0,44.0,1.0,1.0,0.4123194444444445
hardened_v3,normal_staggered,attack_off_hours,known,warn,1110.0,44.0,0.0,0.9166666666666666,0.3154027777777778
hardened_v3,normal_staggered,attack_permission_change,known,challenge,1110.0,44.0,1.0,1.0,0.7602777777777778
hardened_v3,normal_staggered,attack_session_exfiltration,evasive,challenge,1110.0,44.0,0.8638888888888889,0.8638888888888889,0.3778888888888889
hardened_v3,normal_staggered,attack_subsystem_lateral,known,challenge,1110.0,44.0,1.0,1.0,0.9652499999999999
hardened_v3,normal_staggered,attack_velocity_near_threshold,evasive,challenge,1110.0,44.0,0.9777777777777777,0.9777777777777777,0.3595555555555555
