stage,dataset_size,seed,normal_scenario,attack_type,event_challenge_recall,sequence_detection_rate,preobjective_detection_rate,objective_detection_rate,median_time_to_detect_phase,mean_attack_mimicry_distance,flagged_poison_rejection_rate,attack_phase_count,attack_sequence_count
hardened_v3_event,10,43,normal_nat_burst,stealth_mimicry_ato,0.0,0.0,0.0,0.0,5.0,0.2808397320962974,0.0,48,12
hardened_v3_event,10,43,normal_nat_burst,slow_credential_probe,0.0,0.0,0.0,0.0,5.0,0.3054674058032807,0.0,48,12
hardened_v3_event,10,43,normal_nat_burst,session_replay_chain,0.041666666666666664,0.16666666666666666,0.0,0.16666666666666666,5.0,0.32999722671928994,0.0,48,12
hardened_v3_event,10,43,normal_nat_burst,gradual_exfiltration,0.020833333333333332,0.08333333333333333,0.0,0.08333333333333333,5.0,0.2804806063643577,0.0,48,12
hardened_v3_event,10,43,normal_nat_burst,distributed_lateral_drift,0.0,0.0,0.0,0.0,5.0,0.2543359363741696,0.0,32,8
hardened_v3_event,10,43,normal_nat_burst,profile_poisoning_chain,0.0,0.0,0.0,0.0,5.0,0.3235015604461015,1.0,48,12
sequence_v4,10,43,normal_nat_burst,stealth_mimicry_ato,0.0,0.0,0.0,0.0,5.0,0.2808397320962974,0.0,48,12
sequence_v4,10,43,normal_nat_burst,slow_credential_probe,0.0,0.0,0.0,0.0,5.0,0.3054674058032807,0.0,48,12
sequence_v4,10,43,normal_nat_burst,session_replay_chain,0.2708333333333333,0.8333333333333334,0.25,0.8333333333333334,4.0,0.32999722671928994,0.0,48,12
sequence_v4,10,43,normal_nat_burst,gradual_exfiltration,0.020833333333333332,0.08333333333333333,0.0,0.08333333333333333,5.0,0.2804806063643577,0.0,48,12
sequence_v4,10,43,normal_nat_burst,distributed_lateral_drift,0.0,0.0,0.0,0.0,5.0,0.2543359363741696,0.0,32,8
sequence_v4,10,43,normal_nat_burst,profile_poisoning_chain,0.0625,0.25,0.0,0.25,5.0,0.3235015604461015,1.0,48,12
hardened_v3_event,10,44,normal_staggered,stealth_mimicry_ato,0.0,0.0,0.0,0.0,5.0,0.2897138315846422,0.0,48,12
hardened_v3_event,10,44,normal_staggered,slow_credential_probe,0.020833333333333332,0.08333333333333333,0.08333333333333333,0.0,5.0,0.3156583140546927,0.0,48,12
hardened_v3_event,10,44,normal_staggered,session_replay_chain,0.0625,0.25,0.0,0.25,5.0,0.3330289562406777,0.0,48,12
hardened_v3_event,10,44,normal_staggered,gradual_exfiltration,0.0,0.0,0.0,0.0,5.0,0.2912685580553395,0.0,48,12
hardened_v3_event,10,44,normal_staggered,distributed_lateral_drift,0.0,0.0,0.0,0.0,5.0,0.25706110137592125,0.0,32,8
hardened_v3_event,10,44,normal_staggered,profile_poisoning_chain,0.020833333333333332,0.08333333333333333,0.08333333333333333,0.0,5.0,0.326908739043072,1.0,48,12
sequence_v4,10,44,normal_staggered,stealth_mimicry_ato,0.0,0.0,0.0,0.0,5.0,0.2897138315846422,0.0,48,12
sequence_v4,10,44,normal_staggered,slow_credential_probe,0.020833333333333332,0.08333333333333333,0.08333333333333333,0.0,5.0,0.3156583140546927,0.0,48,12
sequence_v4,10,44,normal_staggered,session_replay_chain,0.2916666666666667,1.0,0.16666666666666666,1.0,4.0,0.3330289562406777,0.0,48,12
sequence_v4,10,44,normal_staggered,gradual_exfiltration,0.041666666666666664,0.16666666666666666,0.0,0.16666666666666666,5.0,0.2912685580553395,0.0,48,12
sequence_v4,10,44,normal_staggered,distributed_lateral_drift,0.0,0.0,0.0,0.0,5.0,0.25706110137592125,0.0,32,8
sequence_v4,10,44,normal_staggered,profile_poisoning_chain,0.08333333333333333,0.25,0.08333333333333333,0.25,5.0,0.326908739043072,1.0,48,12
hardened_v3_event,10,44,normal_nat_burst,stealth_mimicry_ato,0.0,0.0,0.0,0.0,5.0,0.28351807207868956,0.0,48,12
hardened_v3_event,10,44,normal_nat_burst,slow_credential_probe,0.0,0.0,0.0,0.0,5.0,0.3106300278405929,0.0,48,12
hardened_v3_event,10,44,normal_nat_burst,session_replay_chain,0.041666666666666664,0.16666666666666666,0.0,0.16666666666666666,5.0,0.33602944197525836,0.0,48,12
hardened_v3_event,10,44,normal_nat_burst,gradual_exfiltration,0.0,0.0,0.0,0.0,5.0,0.281640133605601,0.0,48,12
hardened_v3_event,10,44,normal_nat_burst,distributed_lateral_drift,0.0,0.0,0.0,0.0,5.0,0.2543205365073037,0.0,32,8
hardened_v3_event,10,44,normal_nat_burst,profile_poisoning_chain,0.0,0.0,0.0,0.0,5.0,0.3262068630409494,1.0,48,12
sequence_v4,10,44,normal_nat_burst,stealth_mimicry_ato,0.0,0.0,0.0,0.0,5.0,0.28351807207868956,0.0,48,12
sequence_v4,10,44,normal_nat_burst,slow_credential_probe,0.0,0.0,0.0,0.0,5.0,0.3106300278405929,0.0,48,12
sequence_v4,10,44,normal_nat_burst,session_replay_chain,0.25,0.8333333333333334,0.16666666666666666,0.8333333333333334,4.0,0.33602944197525836,0.0,48,12
sequence_v4,10,44,normal_nat_burst,gradual_exfiltration,0.020833333333333332,0.08333333333333333,0.0,0.08333333333333333,5.0,0.281640133605601,0.0,48,12
sequence_v4,10,44,normal_nat_burst,distributed_lateral_drift,0.0,0.0,0.0,0.0,5.0,0.2543205365073037,0.0,32,8
sequence_v4,10,44,normal_nat_burst,profile_poisoning_chain,0.0625,0.25,0.0,0.25,5.0,0.3262068630409494,1.0,48,12
hardened_v3_event,10,45,normal_staggered,stealth_mimicry_ato,0.0,0.0,0.0,0.0,5.0,0.29389924483903834,0.0,48,12
hardened_v3_event,10,45,normal_staggered,slow_credential_probe,0.020833333333333332,0.08333333333333333,0.08333333333333333,0.0,5.0,0.317422031432983,0.0,48,12
hardened_v3_event,10,45,normal_staggered,session_replay_chain,0.041666666666666664,0.16666666666666666,0.0,0.16666666666666666,5.0,0.3333110390879001,0.0,48,12
hardened_v3_event,10,45,normal_staggered,gradual_exfiltration,0.020833333333333332,0.08333333333333333,0.0,0.08333333333333333,5.0,0.29500541455094287,0.0,48,12
hardened_v3_event,10,45,normal_staggered,distributed_lateral_drift,0.0,0.0,0.0,0.0,5.0,0.2579772895821306,0.0,32,8
hardened_v3_event,10,45,normal_staggered,profile_poisoning_chain,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.08333333333333333,5.0,0.3315759632611845,1.0,48,12
sequence_v4,10,45,normal_staggered,stealth_mimicry_ato,0.0,0.0,0.0,0.0,5.0,0.29389924483903834,0.0,48,12
sequence_v4,10,45,normal_staggered,slow_credential_probe,0.020833333333333332,0.08333333333333333,0.08333333333333333,0.0,5.0,0.317422031432983,0.0,48,12
sequence_v4,10,45,normal_staggered,session_replay_chain,0.2708333333333333,0.75,0.3333333333333333,0.75,4.0,0.3333110390879001,0.0,48,12
sequence_v4,10,45,normal_staggered,gradual_exfiltration,0.020833333333333332,0.08333333333333333,0.0,0.08333333333333333,5.0,0.29500541455094287,0.0,48,12
sequence_v4,10,45,normal_staggered,distributed_lateral_drift,0.0,0.0,0.0,0.0,5.0,0.2579772895821306,0.0,32,8
sequence_v4,10,45,normal_staggered,profile_poisoning_chain,0.125,0.4166666666666667,0.08333333333333333,0.4166666666666667,5.0,0.3315759632611845,1.0,48,12
hardened_v3_event,10,45,normal_nat_burst,stealth_mimicry_ato,0.0,0.0,0.0,0.0,5.0,0.27690219683042505,0.0,48,12
hardened_v3_event,10,45,normal_nat_burst,slow_credential_probe,0.020833333333333332,0.08333333333333333,0.0,0.08333333333333333,5.0,0.3064805015554513,0.0,48,12
hardened_v3_event,10,45,normal_nat_burst,session_replay_chain,0.08333333333333333,0.3333333333333333,0.0,0.3333333333333333,5.0,0.33117261760079253,0.0,48,12
hardened_v3_event,10,45,normal_nat_burst,gradual_exfiltration,0.0,0.0,0.0,0.0,5.0,0.2769139397224023,0.0,48,12
hardened_v3_event,10,45,normal_nat_burst,distributed_lateral_drift,0.0,0.0,0.0,0.0,5.0,0.2543382219097483,0.0,32,8
hardened_v3_event,10,45,normal_nat_burst,profile_poisoning_chain,0.0,0.0,0.0,0.0,5.0,0.31849994514598584,1.0,48,12
sequence_v4,10,45,normal_nat_burst,stealth_mimicry_ato,0.0,0.0,0.0,0.0,5.0,0.27690219683042505,0.0,48,12
sequence_v4,10,45,normal_nat_burst,slow_credential_probe,0.020833333333333332,0.08333333333333333,0.0,0.08333333333333333,5.0,0.3064805015554513,0.0,48,12
sequence_v4,10,45,normal_nat_burst,session_replay_chain,0.2916666666666667,0.8333333333333334,0.3333333333333333,0.8333333333333334,4.0,0.33117261760079253,0.0,48,12
sequence_v4,10,45,normal_nat_burst,gradual_exfiltration,0.0,0.0,0.0,0.0,5.0,0.2769139397224023,0.0,48,12
sequence_v4,10,45,normal_nat_burst,distributed_lateral_drift,0.0,0.0,0.0,0.0,5.0,0.2543382219097483,0.0,32,8
sequence_v4,10,45,normal_nat_burst,profile_poisoning_chain,0.020833333333333332,0.08333333333333333,0.0,0.08333333333333333,5.0,0.31849994514598584,1.0,48,12
hardened_v3_event,10,46,normal_staggered,stealth_mimicry_ato,0.0,0.0,0.0,0.0,5.0,0.28640378724310445,0.0,48,12
hardened_v3_event,10,46,normal_staggered,slow_credential_probe,0.0,0.0,0.0,0.0,5.0,0.31228015147059723,0.0,48,12
hardened_v3_event,10,46,normal_staggered,session_replay_chain,0.020833333333333332,0.08333333333333333,0.0,0.08333333333333333,5.0,0.3305812863335106,0.0,48,12
hardened_v3_event,10,46,normal_staggered,gradual_exfiltration,0.0,0.0,0.0,0.0,5.0,0.28276721213835304,0.0,48,12
hardened_v3_event,10,46,normal_staggered,distributed_lateral_drift,0.0,0.0,0.0,0.0,5.0,0.25861922104091983,0.0,32,8
hardened_v3_event,10,46,normal_staggered,profile_poisoning_chain,0.0,0.0,0.0,0.0,5.0,0.32256910298851554,1.0,48,12
sequence_v4,10,46,normal_staggered,stealth_mimicry_ato,0.0,0.0,0.0,0.0,5.0,0.28640378724310445,0.0,48,12
sequence_v4,10,46,normal_staggered,slow_credential_probe,0.0,0.0,0.0,0.0,5.0,0.31228015147059723,0.0,48,12
sequence_v4,10,46,normal_staggered,session_replay_chain,0.25,0.6666666666666666,0.3333333333333333,0.6666666666666666,4.0,0.3305812863335106,0.0,48,12
sequence_v4,10,46,normal_staggered,gradual_exfiltration,0.020833333333333332,0.08333333333333333,0.0,0.08333333333333333,5.0,0.28276721213835304,0.0,48,12
sequence_v4,10,46,normal_staggered,distributed_lateral_drift,0.0,0.0,0.0,0.0,5.0,0.25861922104091983,0.0,32,8
sequence_v4,10,46,normal_staggered,profile_poisoning_chain,0.0625,0.25,0.0,0.25,5.0,0.32256910298851554,1.0,48,12
hardened_v3_event,10,46,normal_nat_burst,stealth_mimicry_ato,0.0,0.0,0.0,0.0,5.0,0.28124251852970955,0.0,48,12
hardened_v3_event,10,46,normal_nat_burst,slow_credential_probe,0.020833333333333332,0.08333333333333333,0.0,0.08333333333333333,5.0,0.3066692919550677,0.0,48,12
hardened_v3_event,10,46,normal_nat_burst,session_replay_chain,0.041666666666666664,0.16666666666666666,0.0,0.16666666666666666,5.0,0.33265920963914336,0.0,48,12
hardened_v3_event,10,46,normal_nat_burst,gradual_exfiltration,0.0,0.0,0.0,0.0,5.0,0.2844730046406952,0.0,48,12
hardened_v3_event,10,46,normal_nat_burst,distributed_lateral_drift,0.0,0.0,0.0,0.0,5.0,0.2556938241710286,0.0,32,8
hardened_v3_event,10,46,normal_nat_burst,profile_poisoning_chain,0.0,0.0,0.0,0.0,5.0,0.3243214874534248,1.0,48,12
sequence_v4,10,46,normal_nat_burst,stealth_mimicry_ato,0.0,0.0,0.0,0.0,5.0,0.28124251852970955,0.0,48,12
sequence_v4,10,46,normal_nat_burst,slow_credential_probe,0.020833333333333332,0.08333333333333333,0.0,0.08333333333333333,5.0,0.3066692919550677,0.0,48,12
sequence_v4,10,46,normal_nat_burst,session_replay_chain,0.25,0.9166666666666666,0.08333333333333333,0.9166666666666666,4.0,0.33265920963914336,0.0,48,12
sequence_v4,10,46,normal_nat_burst,gradual_exfiltration,0.0,0.0,0.0,0.0,5.0,0.2844730046406952,0.0,48,12
sequence_v4,10,46,normal_nat_burst,distributed_lateral_drift,0.0,0.0,0.0,0.0,5.0,0.2556938241710286,0.0,32,8
sequence_v4,10,46,normal_nat_burst,profile_poisoning_chain,0.020833333333333332,0.08333333333333333,0.0,0.08333333333333333,5.0,0.3243214874534248,1.0,48,12
hardened_v3_event,50,42,normal_staggered,stealth_mimicry_ato,0.0,0.0,0.0,0.0,5.0,0.3011657493751519,0.0,48,12
hardened_v3_event,50,42,normal_staggered,slow_credential_probe,0.0,0.0,0.0,0.0,5.0,0.3232748220348189,0.0,48,12
hardened_v3_event,50,42,normal_staggered,session_replay_chain,0.0,0.0,0.0,0.0,5.0,0.33200547723907653,0.0,48,12
hardened_v3_event,50,42,normal_staggered,gradual_exfiltration,0.0,0.0,0.0,0.0,5.0,0.29772891362385634,0.0,48,12
hardened_v3_event,50,42,normal_staggered,distributed_lateral_drift,0.0,0.0,0.0,0.0,5.0,0.27454629501931127,0.0,32,8
hardened_v3_event,50,42,normal_staggered,profile_poisoning_chain,0.0,0.0,0.0,0.0,5.0,0.336826829891448,1.0,48,12
sequence_v4,50,42,normal_staggered,stealth_mimicry_ato,0.0,0.0,0.0,0.0,5.0,0.3011657493751519,0.0,48,12
sequence_v4,50,42,normal_staggered,slow_credential_probe,0.0,0.0,0.0,0.0,5.0,0.3232748220348189,0.0,48,12
sequence_v4,50,42,normal_staggered,session_replay_chain,0.2708333333333333,0.8333333333333334,0.25,0.8333333333333334,4.0,0.33200547723907653,0.0,48,12
sequence_v4,50,42,normal_staggered,gradual_exfiltration,0.0,0.0,0.0,0.0,5.0,0.29772891362385634,0.0,48,12
sequence_v4,50,42,normal_staggered,distributed_lateral_drift,0.0,0.0,0.0,0.0,5.0,0.27454629501931127,0.0,32,8
sequence_v4,50,42,normal_staggered,profile_poisoning_chain,0.08333333333333333,0.25,0.16666666666666666,0.16666666666666666,5.0,0.336826829891448,1.0,48,12
hardened_v3_event,50,42,normal_nat_burst,stealth_mimicry_ato,0.0,0.0,0.0,0.0,5.0,0.31021327436450125,0.0,48,12
hardened_v3_event,50,42,normal_nat_burst,slow_credential_probe,0.0,0.0,0.0,0.0,5.0,0.33247538957623207,0.0,48,12
hardened_v3_event,50,42,normal_nat_burst,session_replay_chain,0.0,0.0,0.0,0.0,5.0,0.3504963987082501,0.0,48,12
hardened_v3_event,50,42,normal_nat_burst,gradual_exfiltration,0.0,0.0,0.0,0.0,5.0,0.3033625827248984,0.0,48,12
hardened_v3_event,50,42,normal_nat_burst,distributed_lateral_drift,0.0,0.0,0.0,0.0,5.0,0.27594974897808366,0.0,32,8
hardened_v3_event,50,42,normal_nat_burst,profile_poisoning_chain,0.0,0.0,0.0,0.0,5.0,0.3483243882431734,1.0,48,12
sequence_v4,50,42,normal_nat_burst,stealth_mimicry_ato,0.0,0.0,0.0,0.0,5.0,0.31021327436450125,0.0,48,12
sequence_v4,50,42,normal_nat_burst,slow_credential_probe,0.0,0.0,0.0,0.0,5.0,0.33247538957623207,0.0,48,12
sequence_v4,50,42,normal_nat_burst,session_replay_chain,0.3541666666666667,0.9166666666666666,0.5,0.9166666666666666,3.5,0.3504963987082501,0.0,48,12
sequence_v4,50,42,normal_nat_burst,gradual_exfiltration,0.0,0.0,0.0,0.0,5.0,0.3033625827248984,0.0,48,12
sequence_v4,50,42,normal_nat_burst,distributed_lateral_drift,0.0,0.0,0.0,0.0,5.0,0.27594974897808366,0.0,32,8
sequence_v4,50,42,normal_nat_burst,profile_poisoning_chain,0.1875,0.5,0.3333333333333333,0.4166666666666667,4.5,0.3483243882431734,1.0,48,12
hardened_v3_event,50,43,normal_staggered,stealth_mimicry_ato,0.0,0.0,0.0,0.0,5.0,0.31156190912709186,0.0,48,12
hardened_v3_event,50,43,normal_staggered,slow_credential_probe,0.0,0.0,0.0,0.0,5.0,0.3340118305936198,0.0,48,12
hardened_v3_event,50,43,normal_staggered,session_replay_chain,0.0,0.0,0.0,0.0,5.0,0.34506326605939835,0.0,48,12
hardened_v3_event,50,43,normal_staggered,gradual_exfiltration,0.0,0.0,0.0,0.0,5.0,0.30585874978106675,0.0,48,12
hardened_v3_event,50,43,normal_staggered,distributed_lateral_drift,0.0,0.0,0.0,0.0,5.0,0.28242318732285293,0.0,32,8
hardened_v3_event,50,43,normal_staggered,profile_poisoning_chain,0.0,0.0,0.0,0.0,5.0,0.3468824756572939,1.0,48,12
sequence_v4,50,43,normal_staggered,stealth_mimicry_ato,0.0,0.0,0.0,0.0,5.0,0.31156190912709186,0.0,48,12
sequence_v4,50,43,normal_staggered,slow_credential_probe,0.0,0.0,0.0,0.0,5.0,0.3340118305936198,0.0,48,12
sequence_v4,50,43,normal_staggered,session_replay_chain,0.3125,1.0,0.25,1.0,4.0,0.34506326605939835,0.0,48,12
sequence_v4,50,43,normal_staggered,gradual_exfiltration,0.0,0.0,0.0,0.0,5.0,0.30585874978106675,0.0,48,12
sequence_v4,50,43,normal_staggered,distributed_lateral_drift,0.0,0.0,0.0,0.0,5.0,0.28242318732285293,0.0,32,8
sequence_v4,50,43,normal_staggered,profile_poisoning_chain,0.125,0.5,0.16666666666666666,0.3333333333333333,4.5,0.3468824756572939,1.0,48,12
hardened_v3_event,50,43,normal_nat_burst,stealth_mimicry_ato,0.0,0.0,0.0,0.0,5.0,0.2936037864259509,0.0,48,12
hardened_v3_event,50,43,normal_nat_burst,slow_credential_probe,0.0,0.0,0.0,0.0,5.0,0.316073108325347,0.0,48,12
hardened_v3_event,50,43,normal_nat_burst,session_replay_chain,0.0,0.0,0.0,0.0,5.0,0.33837916823679204,0.0,48,12
hardened_v3_event,50,43,normal_nat_burst,gradual_exfiltration,0.0,0.0,0.0,0.0,5.0,0.2868331487350669,0.0,48,12
hardened_v3_event,50,43,normal_nat_burst,distributed_lateral_drift,0.0,0.0,0.0,0.0,5.0,0.26651104921075947,0.0,32,8
hardened_v3_event,50,43,normal_nat_burst,profile_poisoning_chain,0.0,0.0,0.0,0.0,5.0,0.33502158796740106,1.0,48,12
sequence_v4,50,43,normal_nat_burst,stealth_mimicry_ato,0.0,0.0,0.0,0.0,5.0,0.2936037864259509,0.0,48,12
sequence_v4,50,43,normal_nat_burst,slow_credential_probe,0.0,0.0,0.0,0.0,5.0,0.316073108325347,0.0,48,12
sequence_v4,50,43,normal_nat_burst,session_replay_chain,0.2708333333333333,0.9166666666666666,0.16666666666666666,0.9166666666666666,4.0,0.33837916823679204,0.0,48,12
sequence_v4,50,43,normal_nat_burst,gradual_exfiltration,0.0,0.0,0.0,0.0,5.0,0.2868331487350669,0.0,48,12
sequence_v4,50,43,normal_nat_burst,distributed_lateral_drift,0.0,0.0,0.0,0.0,5.0,0.26651104921075947,0.0,32,8
sequence_v4,50,43,normal_nat_burst,profile_poisoning_chain,0.10416666666666667,0.3333333333333333,0.16666666666666666,0.25,5.0,0.33502158796740106,1.0,48,12
hardened_v3_event,50,44,normal_staggered,stealth_mimicry_ato,0.0,0.0,0.0,0.0,5.0,0.3065710520543296,0.0,48,12
hardened_v3_event,50,44,normal_staggered,slow_credential_probe,0.0,0.0,0.0,0.0,5.0,0.3292743262668205,0.0,48,12
hardened_v3_event,50,44,normal_staggered,session_replay_chain,0.0,0.0,0.0,0.0,5.0,0.338981655327016,0.0,48,12
hardened_v3_event,50,44,normal_staggered,gradual_exfiltration,0.0,0.0,0.0,0.0,5.0,0.302110566481078,0.0,48,12
hardened_v3_event,50,44,normal_staggered,distributed_lateral_drift,0.0,0.0,0.0,0.0,5.0,0.27923845793853425,0.0,32,8
hardened_v3_event,50,44,normal_staggered,profile_poisoning_chain,0.0,0.0,0.0,0.0,5.0,0.3431362461430445,1.0,48,12
sequence_v4,50,44,normal_staggered,stealth_mimicry_ato,0.0,0.0,0.0,0.0,5.0,0.3065710520543296,0.0,48,12
sequence_v4,50,44,normal_staggered,slow_credential_probe,0.0,0.0,0.0,0.0,5.0,0.3292743262668205,0.0,48,12
sequence_v4,50,44,normal_staggered,session_replay_chain,0.22916666666666666,0.9166666666666666,0.0,0.9166666666666666,4.0,0.338981655327016,0.0,48,12
sequence_v4,50,44,normal_staggered,gradual_exfiltration,0.0,0.0,0.0,0.0,5.0,0.302110566481078,0.0,48,12
sequence_v4,50,44,normal_staggered,distributed_lateral_drift,0.0,0.0,0.0,0.0,5.0,0.27923845793853425,0.0,32,8
sequence_v4,50,44,normal_staggered,profile_poisoning_chain,0.0625,0.16666666666666666,0.08333333333333333,0.16666666666666666,5.0,0.3431362461430445,1.0,48,12
hardened_v3_event,50,44,normal_nat_burst,stealth_mimicry_ato,0.0,0.0,0.0,0.0,5.0,0.30385459849242036,0.0,48,12
hardened_v3_event,50,44,normal_nat_burst,slow_credential_probe,0.0,0.0,0.0,0.0,5.0,0.3260249939102191,0.0,48,12
hardened_v3_event,50,44,normal_nat_burst,session_replay_chain,0.0,0.0,0.0,0.0,5.0,0.34632040263776576,0.0,48,12
hardened_v3_event,50,44,normal_nat_burst,gradual_exfiltration,0.0,0.0,0.0,0.0,5.0,0.29707812240681225,0.0,48,12
hardened_v3_event,50,44,normal_nat_burst,distributed_lateral_drift,0.0,0.0,0.0,0.0,5.0,0.27436188022623725,0.0,32,8
hardened_v3_event,50,44,normal_nat_burst,profile_poisoning_chain,0.0,0.0,0.0,0.0,5.0,0.3446146511760297,1.0,48,12
sequence_v4,50,44,normal_nat_burst,stealth_mimicry_ato,0.0,0.0,0.0,0.0,5.0,0.30385459849242036,0.0,48,12
sequence_v4,50,44,normal_nat_burst,slow_credential_probe,0.0,0.0,0.0,0.0,5.0,0.3260249939102191,0.0,48,12
sequence_v4,50,44,normal_nat_burst,session_replay_chain,0.2916666666666667,0.9166666666666666,0.25,0.9166666666666666,4.0,0.34632040263776576,0.0,48,12
sequence_v4,50,44,normal_nat_burst,gradual_exfiltration,0.0,0.0,0.0,0.0,5.0,0.29707812240681225,0.0,48,12
sequence_v4,50,44,normal_nat_burst,distributed_lateral_drift,0.0,0.0,0.0,0.0,5.0,0.27436188022623725,0.0,32,8
sequence_v4,50,44,normal_nat_burst,profile_poisoning_chain,0.08333333333333333,0.25,0.08333333333333333,0.25,5.0,0.3446146511760297,1.0,48,12
hardened_v3_event,50,45,normal_staggered,stealth_mimicry_ato,0.0,0.0,0.0,0.0,5.0,0.30707144672026787,0.0,48,12
